Type,Path,Date,Size
DIR,/home/ceciltat/monitoring2/01/test/aaaz_040225,2025-02-04 15:00:09,N/A
FILE,/home/ceciltat/monitoring2/01/test/aaaz_040225/aaaz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aaaz_040225/aazz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aaaz_040225/azzz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aaaz_040225/aaaaz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aaaz_040225/aaazz_040225.az,2025-02-04 15:00:09,3KB
DIR,/home/ceciltat/monitoring2/01/test/aazz_040225,2025-02-04 15:00:09,N/A
FILE,/home/ceciltat/monitoring2/01/test/aazz_040225/aaaz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aazz_040225/aazz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aazz_040225/azzz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aazz_040225/aaaaz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aazz_040225/aaazz_040225.az,2025-02-04 15:00:09,3KB
DIR,/home/ceciltat/monitoring2/01/test/azzz_040225,2025-02-04 15:00:09,N/A
FILE,/home/ceciltat/monitoring2/01/test/azzz_040225/aaaz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/azzz_040225/aazz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/azzz_040225/azzz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/azzz_040225/aaaaz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/azzz_040225/aaazz_040225.az,2025-02-04 15:00:09,3KB
DIR,/home/ceciltat/monitoring2/01/test/aaaaz_040225,2025-02-04 15:00:09,N/A
FILE,/home/ceciltat/monitoring2/01/test/aaaaz_040225/aaaz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aaaaz_040225/aazz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aaaaz_040225/azzz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aaaaz_040225/aaaaz_040225.az,2025-02-04 15:00:09,3KB
FILE,/home/ceciltat/monitoring2/01/test/aaaaz_040225/aaazz_040225.az,2025-02-04 15:00:09,3KB
